NAME,productUrl,imageUrl,originalPrice,DiscountedPrice,Discount,ratingScore,review,description,categories,itemId,page
Xiaomi Redmi Note 12 4GB-128GB,,https://vn-live-01.slatic.net/p/8130f95dc2376a7b7a423754ddf0a402.jpg,4990000,3790000,24% Off,5.0,11,[],"[4402, 4518]",2248216129,14
Điện thoại cũ i-p 6g mvt đẹp trên 90% giá rẻ,,https://filebroker-cdn.lazada.vn/kf/Se23c149d23b54f1c979aa87870f8e791e.jpg,769000,739000,4% Off,5.0,2,[],"[4402, 4518]",2429717769,14
"Samsung M31 - điện thoại Samsung Galaxy M31 2sim ram 6G/128G Chính Hãng, lướt Wed Tiktok Facebook Youtube chất, Bảo hành 12 tháng",,https://vn-live-01.slatic.net/p/a9182c31f897d956a67d44da5a0dda80.jpg,1899000,1149000,39% Off,4.854166666666667,48,[],"[4402, 4518]",2299522808,14
"Oppo R15x - điện thoại Oppo R15x 2sim ram 8G/512G máy Chính Hãng, lướt Wed Tiktok Facebook Youtube chất, Bảo hành 12 tháng",,https://vn-live-01.slatic.net/p/cc41ba8b58d301f3e92b193a4a5c9a08.jpg,999000,549000,45% Off,4.916666666666667,48,[],"[4402, 4518]",2320292960,14
"điện thoại Oppo A74 Chính Hãng 2sim ram 8G/256G, Cấu hình mạnh đỉnh Cày PUBG/Liên Quân/Free Fire/Tiktok siêu mượt",,https://vn-live-01.slatic.net/p/2d6136e866e1e52d2e7dcd082ac7466d.jpg,2099000,1099000,48% Off,4.969230769230769,65,[],"[4402, 4518]",2024596678,14
Điện Thoại mini i15 mini 2 sim siêu nhỏ Siêu Dễ Thương có màn hình tròn đẹp lạ mới nhất 2024 (chính),,https://sg-test-11.slatic.net/p/cdaccf7c9681abc99b628510aaa267ac.jpg,,370000,,0,,[],"[4402, 4518]",2530692368,14
"điện thoại Samsung Galaxy A13 máy 2sim ram 6G/128G Chính Hãng, cày game nặng chất - Bảo hành 12 tháng",,https://vn-live-01.slatic.net/p/8d71a8f5917cbc197371e9cc93433c03.jpg,2099000,1199000,43% Off,4.922330097087379,103,[],"[4402, 4518]",2197326102,14
"điện thoại Vivo Y21s 2sim ram 8G/256G máy Chính Hãng, Cấu hình siêu khủng, Cày game nặng mượt mà, Camera siêu nét, Bảo hành 12 tháng - NNT 01",,https://vn-live-01.slatic.net/p/c95ec3a9888571bf09391a1251d14bb9.jpg,1199000,649000,46% Off,5.0,35,[],"[4402, 4518]",2507482338,14
Điện Thoại 6s Blus bản Q-Tế cài game nặng và ứng dụng.Lắp sim.BH 12 Tháng,,https://vn-live-01.slatic.net/p/2ee2d2a4ff8e9a546c2d5695cf0df576.jpg,1500000,1200000,20% Off,3.6666666666666665,3,[],"[4402, 4518]",2415107929,14
[CHÍNH HÃNG] Điện thoại Nokia 108 2SIM - Nghe Nhạc Chụp Hình,,https://vn-live-01.slatic.net/p/658ebaec9513189ddcd517342779a196.png,180000,159000,12% Off,4.314285714285714,35,[],"[4402, 4518]",470136934,14
